,alpha,P_alpha,beta,P_beta
aelf,1.1032401305506923,0.002486,0.4918278435791272,8.609e-05
algorand,0.32995226161865837,0.0288,0.9342457633300408,8.644000000000001e-78
aragon,0.2269021578573485,7.983e-06,0.9388252700386475,0.0
ardor,0.05599146544579894,0.003589,0.9914082273722543,0.0
bancor,0.31059635611896463,0.02578,0.9564384808509392,5.886999999999999e-133
basic-attention-token,0.33671712211096866,0.002756,0.9339351727345159,1.321e-69
beam,0.11651228464415224,0.009121,0.9635911736702116,0.0
binancecoin,0.2702913628093557,5.367e-06,0.9832556637907796,0.0
bitcoin,0.08967346063108807,0.00322,0.9759815671205633,0.0
bitcoin-cash,0.18460216754314826,3.431e-06,0.9871621553916626,0.0
cardano,0.25629708406858365,0.003804,0.923682493201006,8.783000000000001e-84
celsius-degree-token,0.1467224823987672,0.005062,0.9421639596355238,7.614000000000001e-143
chainlink,0.2227360173836047,0.00101,0.9514892472185323,3.027e-276
chiliz,0.43477770627887463,0.0008018,0.9394344661642868,4.515e-165
civic,1.3555963374104127,0.0005277,0.402218196523074,0.007779
constellation-labs,0.1852714844716029,0.0001628,0.9618409325417576,0.0
cortex,0.5784154522678748,0.001975,0.6811839839634453,0.02208
cosmos,0.2538745583550384,0.001201,0.9539446548934698,6.206e-250
crypto-com-chain,0.3284382744220569,3.809e-06,0.9557188507223343,0.0
dash,0.3834380454254874,0.03527,0.8987176814965653,1.8090000000000002e-32
decentraland,0.7277454749394908,4.086e-12,0.7487604121661082,1.222e-38
decred,0.15700384643477974,0.0004538,0.9642760705175151,0.0
dent,0.4458920941217211,0.01028,0.9568430416645078,5.411000000000001e-256
dogecoin,2.347979135254275,5.502e-07,0.40687484055271245,1.358e-07
elastos,0.21522756317515004,0.02773,0.9535191849611562,8.466e-112
enjincoin,0.19465531336211414,0.007195,0.9826560225053623,0.0
eos,0.20255433729147568,6.251e-05,0.9799524780539718,0.0
ethereum,0.15509793480196582,0.0003167,0.9634855049674264,0.0
ethereum-classic,0.17345332861998644,0.0013,0.993485796886155,0.0
funfair,0.3347648782287664,0.03358,0.9177143641618232,7.872999999999999e-29
gnosis,0.32712417584853576,0.0001449,0.7508676035589329,1.843e-09
golem,0.3719740732959294,0.02052,0.8427533084191607,1.918e-65
hedera-hashgraph,0.2659565280583794,0.04171,0.9618327316969999,0.0
hive,0.42467884540461365,0.008776,0.9369328644221134,7.606e-45
icon,0.1402092295258263,1.407e-05,0.9691193723983625,0.0
iexec-rlc,0.2335882134238673,0.03536,0.9899715550245565,0.0
iostoken,0.2684527402659444,0.02048,0.9088434721952166,9.297e-47
iota,0.19759447957767187,0.02358,0.9671969244040537,4.499e-213
iotex,0.6027751134184665,1.341e-05,0.9648505851209399,3.826e-148
kava,0.1527137794672521,0.001267,0.9652407596758246,0.0
komodo,0.14712800355679875,0.004417,0.9888061728669314,0.0
lisk,0.2675676557005552,0.0009294,0.9525860353145392,0.0
litecoin,0.1649189903537441,0.0004452,0.9728308813588333,0.0
loopring,0.26578913366098045,0.0007437,0.8327389130123676,8.216000000000001e-58
maker,0.37516427071233044,0.0001533,0.9267585503641019,8.018e-172
matic-network,0.20700102673928586,0.004646,0.9841721704995267,0.0
monero,0.1918602016487642,0.001098,0.9724762356409327,0.0
mxc,0.38410057881507526,0.007612,0.6699656949531034,2.554e-07
nem,0.1408941416284971,0.01349,0.9716043605049315,0.0
neo,0.14160344857630436,0.04571,0.9680004933581958,3.3250000000000003e-153
nervos-network,0.14622158561036816,0.0002388,0.9873110937762198,0.0
nexo,0.2373934016375804,3.396e-05,0.9248037474767258,7.1900000000000005e-143
okb,0.5454308096278327,0.002316,0.8798490880889827,2.3369999999999998e-24
omisego,0.37255640811761653,9.174e-06,0.9169648407568107,1.158e-157
ontology,0.13087027987363828,0.001556,0.9803652408436992,0.0
polymath,0.1763812229120973,0.01391,0.8831748577630061,3.718e-40
qtum,0.1545580817086352,0.01424,0.9848784402886963,0.0
ravencoin,0.18486258428845412,0.000923,0.9801820371382851,0.0
reserve-rights-token,0.1137264063109943,0.02953,0.9731075604849154,0.0
ripple,0.817270222939742,0.0004394,0.8225704507698136,3.942e-38
siacoin,0.2965766696395597,0.01145,0.8358927011909445,4.667e-14
stellar,0.6486198454430703,2.282e-07,0.7444928157981878,5.864e-26
stratis,0.2677631184609618,2.296e-05,0.9716040653287241,0.0
swissborg,0.5500129462217398,8.051e-05,0.8397593728819472,1.942e-47
telcoin,0.3277125130270074,0.0004787,0.867012887505974,3.324e-102
theta-token,0.15232852839363153,0.02966,0.9112863762383033,1.512e-57
tron,0.2807018746334277,1.35e-07,0.9583480928633247,0.0
vechain,0.10389012361387726,0.01418,0.9806192015966603,0.0
wazirx,0.35549920528801615,0.0006502,0.957682565256215,6.066e-301
zcash,0.3442001655403166,0.0008711,0.812436576099074,4.044e-25
